SQRP SY2020 Individual Indicator Scores (Based on 2018-2019 Data),,,,,,,PSAT and SAT  Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High School Graduation Indicators,,,,,,,,,College and Career Readiness Indiciators,,,,,,,,,Other Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School ID,School Name,Network ,SQRP Total Points Earned,SY 2019-2020 SQRP Rating,SY 2019-2020 Accountability Status,PSAT09 Cohort Growth Percentile,,,,PSAT10 EBRW Annual Growth Percentile,,,,PSAT10 MATH Annual Growth Percentile,,,,SAT11 EBRW Annual Growth Percentile,,,,SAT11 MATH Annual Growth Percentile,,,,SAT11 Cohort Growth Percentile,,,,"SAT11 African-American
 Cohort Growth  Percentile ",,,,"SAT11 Hispanic
 Cohort Growth  Percentile ",,,,"SAT11 English Learner
 Cohort Growth  Percentile ",,,,"SAT11 Diverse Learner
 Cohort Growth  Percentile ",,,,Percent Meeting College Readiness Benchmarks,,,,Freshmen On-Track Rate,,,4-Year Cohort Graduation Rate,,,1-Year Dropout Rate,,,College Enrollment Rate,,,College Persistence Rate,,,% Earning Early College and Career Credentials,,,Average Daily Attendance Rate,,,"My Voice, My School 5 Essentials Survey ",,,Data Quality Index Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609692,SIMEON HS,Network 17,2.8,Level 2,Provisional Support,17,97,2,3.33,50,93,2,1.67,16,93,1,1.67,21,99,2,1.67,50,99,3,1.67,1,99,1,17.5,1,99,1,2.5,,,,,,,,,,,,,11.3,96,1,10,85.1,4,10,84.7,4,10,1.7,5,5,61.8,3,5,63.9,2,5,50.2,5,5,87.3,3,10,Organized,4,5,99.7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609693,WESTINGHOUSE HS,Network 15,4,Level 1+,Good Standing,82,99,4,3.33,75,100,4,1.67,5,100,1,1.67,16,99,2,1.67,50,99,3,1.67,24,99,2,15,13,99,2,2.5,35,100,3,2.5,,,,,,,,,70.8,99,4,10,97.7,5,10,94,5,10,1.3,5,5,87.8,5,5,87.3,5,5,59.2,5,5,93.1,4,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609694,HANCOCK HS,Network 15,4.1,Level 1+,Good Standing,96,99,5,3.33,28,99,2,1.67,7,99,1,1.67,16,100,2,1.67,19,100,2,1.67,39,100,2,17.5,,,,,38,100,3,2.5,,,,,,,,,82.3,99,5,10,97.5,5,10,95.4,5,10,0.9,5,5,77.2,5,5,79,4,5,77.5,5,5,92.6,4,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609695,AMUNDSEN HS,ISP,4.1,Level 1+,Good Standing,97,98,5,3.33,50,98,3,1.67,13,98,2,1.67,32,100,2,1.67,50,100,3,1.67,47,100,3,15,49,100,3,2.5,46,100,3,2.5,,,,,,,,,57.3,98,3,10,92.4,5,10,86.5,5,10,0.6,5,5,76.6,5,5,75.5,4,5,55.2,5,5,92.2,4,10,Well Organized,5,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609698,BOGAN HS,Network 16,2.7,Level 2,Intensive Support,3,96,1,3.33,50,95,3,1.67,31,95,2,1.67,20,96,2,1.67,62,96,3,1.67,2,96,1,15,1,98,1,2.5,4,96,1,2.5,,,,,,,,,9.5,96,1,10,86.5,4,10,77.8,4,10,4.4,3,5,53.5,2,5,55.9,2,5,42.1,5,5,87.4,3,10,Organized,4,5,99.5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609704,FARRAGUT HS,Network 16,3,Level 2+,Good Standing,55,98,3,3.33,50,100,3,1.67,16,100,2,1.67,11,100,2,1.67,37,100,2,1.67,16,100,2,17.5,,,,,18,100,2,2.5,,,,,,,,,14.8,100,1,10,90.3,5,10,66.7,3,10,3.3,4,5,54.5,2,5,58.2,2,5,56.8,5,5,88.2,3,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609705,FENGER HS,Network 17,2.5,Level 2,Intensive Support,18,100,2,3.33,32,95,2,1.67,36,95,2,1.67,23,100,2,1.67,36,100,2,1.67,2,100,1,20,,,,,,,,,,,,,,,,,3.8,98,1,10,93.5,5,10,48,1,10,0,5,5,44.4,1,5,48,1,5,66.7,5,5,89.1,3,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609708,FOREMAN HS,Network 14,2.6,Level 2,Intensive Support,65,98,3,3.33,67,91,1,1.67,50,91,1,1.67,35,98,2,1.67,38,98,2,1.67,10,98,2,17.5,,,,,14,98,2,2.5,,,,,,,,,15.7,96,1,10,81.7,4,10,70.2,3,10,5.1,3,5,58.1,3,5,57.1,2,5,42.6,5,5,84.7,2,10,Not Yet Organized,1,5,99.7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609709,GAGE PARK HS,Network 16,2.2,Level 2,Intensive Support,12,95,2,3.33,50,100,3,1.67,16,100,2,1.67,34,99,2,1.67,63,99,3,1.67,7,99,1,20,,,,,,,,,,,,,,,,,10.7,98,1,10,85.4,4,10,62.3,2,10,4.3,3,5,42.9,1,5,44.4,1,5,20,3,5,90.1,4,10,Not Yet Organized,1,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609710,HARLAN HS,Network 17,2.1,Level 2,Intensive Support,4,95,1,3.33,32,80,1,1.67,17,80,1,1.67,50,98,3,1.67,37,98,2,1.67,1,98,1,17.5,1,98,1,2.5,,,,,,,,,,,,,6.4,91,1,10,82.8,4,10,51.7,1,10,6.4,2,5,48.4,2,5,53.5,1,5,35.4,4,5,83.6,2,10,Organized,4,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609711,HARPER HS,Network 16,2.3,Level 2,Intensive Support,,,,,32,96,2,2.5,33,96,2,2.5,13,97,2,2.5,50,97,3,2.5,1,97,1,20,,,,,,,,,,,,,,,,,0,97,1,10,,,,50.8,1,10,4.9,3,10,46.4,2,5,34.8,1,5,79.3,5,5,87.2,3,15,Well Organized,5,5,99.7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609712,HIRSCH HS,Network 17,2.1,Level 2,Intensive Support,3,95,1,10,36,100,2,5,23,100,2,5,13,100,2,5,24,100,2,5,,,,,,,,,,,,,,,,,,,,,0,97,1,10,71.4,3,10,69.6,3,10,8,2,5,28.9,1,5,33.3,1,5,33.3,4,5,78.8,1,10,Partially Organized,2,5,99.6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609713,HYDE PARK HS,Network 17,2.7,Level 2,Provisional Support,18,99,2,3.33,81,97,4,1.67,31,97,2,1.67,34,97,2,1.67,50,97,3,1.67,2,97,1,17.5,2,97,1,2.5,,,,,,,,,,,,,11.4,98,1,10,92.8,5,10,74.7,3,10,1.5,5,5,61.4,3,5,53.1,1,5,8.6,1,5,88.3,3,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609715,KELLY HS,Network 16,3.1,Level 2+,Good Standing,56,100,3,3.33,34,99,2,1.67,13,99,2,1.67,19,100,2,1.67,50,100,3,1.67,10,100,2,15,,,,,9,100,1,2.5,,,,,2,100,1,2.5,29.4,99,2,10,80.4,4,10,67.7,3,10,5.9,3,5,66.7,4,5,73.6,3,5,52.1,5,5,90.1,4,10,Organized,4,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609718,KENNEDY HS,Network 16,3.4,Level 2+,Good Standing,71,97,4,3.33,68,97,3,1.67,29,97,2,1.67,68,99,3,1.67,64,99,3,1.67,27,99,2,17.5,,,,,28,99,2,2.5,,,,,,,,,46.1,98,3,10,80.9,4,10,78.4,4,10,4.1,3,5,71.1,4,5,82.2,4,5,36.5,4,5,90.8,4,10,Organized,4,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609719,LAKE VIEW HS,Network 14,3.4,Level 2+,Good Standing,71,99,4,3.33,66,98,3,1.67,30,98,2,1.67,33,98,2,1.67,50,98,3,1.67,13,98,2,15,,,,,12,99,2,2.5,,,,,9,98,1,2.5,36.6,99,2,10,80.5,4,10,85.4,5,10,2.2,4,5,76.2,5,5,79.2,4,5,48.8,5,5,87.2,3,10,Organized,4,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609722,MANLEY HS,Network 15,2.4,Level 2,Intensive Support,2,95,1,10,68,95,3,5,33,95,2,5,23,100,2,5,7,100,1,5,,,,,,,,,,,,,,,,,,,,,6.7,95,1,10,81.3,4,10,47.5,1,10,1.2,5,5,55.2,3,5,40,1,5,35,4,5,77.9,1,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609723,MARSHALL HS,Network 15,2.1,Level 2,Intensive Support,2,95,1,3.33,17,95,2,1.67,19,95,2,1.67,50,99,3,1.67,36,99,2,1.67,1,99,1,20,,,,,,,,,,,,,,,,,2.5,95,1,10,90.5,5,10,62.2,2,10,8,2,5,34.6,1,5,35.4,1,5,29.7,3,5,79.2,1,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609724,MATHER HS,Network 14,3.5,Level 1,Good Standing,66,99,3,3.33,32,98,2,1.67,1,98,1,1.67,32,99,2,1.67,76,99,4,1.67,38,99,2,17.5,,,,,45,99,3,2.5,,,,,,,,,40.1,99,3,10,81.9,4,10,78,4,10,2.2,4,5,74.3,4,5,78.9,4,5,42.9,5,5,90.9,4,10,Organized,4,5,99.7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609727,PHILLIPS HS,AUSL,2.3,Level 2,Intensive Support,26,98,2,3.33,33,95,2,1.67,16,95,2,1.67,22,100,2,1.67,50,100,3,1.67,1,100,1,17.5,1,100,1,2.5,,,,,,,,,,,,,7.9,98,1,10,71,3,10,62.4,2,10,10.1,1,5,66.7,4,5,67.2,3,5,39.8,4,5,82.4,2,10,Organized,4,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609729,SCHURZ HS,Network 14,2.9,Level 2,Intensive Support,46,97,3,3.33,66,98,3,1.67,30,98,2,1.67,19,99,2,1.67,50,99,3,1.67,14,99,2,12.5,2,100,1,2.5,18,99,2,2.5,,,,,4,99,1,2.5,26.5,98,2,10,78.3,3,10,67.3,3,10,3.7,4,5,63.8,3,5,67.8,3,5,58.5,5,5,87.4,3,10,Organized,4,5,99.7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609730,SENN HS,Network 14,3.8,Level 1,Good Standing,88,100,4,3.33,70,98,4,1.67,4,98,1,1.67,31,100,2,1.67,50,100,3,1.67,44,100,3,15,16,100,2,2.5,36,100,3,2.5,,,,,,,,,51.5,99,3,10,89.8,4,10,78.8,4,10,2.2,4,5,80.1,5,5,81.3,4,5,45.6,5,5,91.7,4,10,Well Organized,5,5,99.7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609732,STEINMETZ HS,Network 14,2.9,Level 2,Provisional Support,15,99,2,3.33,50,99,3,1.67,31,99,2,1.67,19,100,2,1.67,50,100,3,1.67,9,100,1,17.5,,,,,8,100,1,2.5,,,,,,,,,21.3,99,2,10,81.7,4,10,69.4,3,10,1.9,5,5,63.2,3,5,60.7,2,5,45.2,5,5,88.6,3,10,Well Organized,5,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609733,SULLIVAN HS,Network 14,3.1,Level 2+,Good Standing,95,98,5,3.33,34,98,2,1.67,50,98,3,1.67,34,99,2,1.67,37,99,2,1.67,22,99,2,20,,,,,,,,,,,,,,,,,21.4,98,2,10,95.1,5,10,60.4,2,10,3.9,4,5,61.9,3,5,69.4,3,5,36,4,5,86.2,3,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609735,TILDEN HS,Network 16,2.2,Level 2,Intensive Support,20,100,2,3.33,82,97,4,1.67,31,97,2,1.67,23,100,2,1.67,84,100,4,1.67,2,100,1,20,,,,,,,,,,,,,,,,,15.5,99,1,10,81.5,4,10,56.7,2,10,12.7,1,5,56.7,3,5,50,1,5,36,4,5,83.4,2,10,Partially Organized,2,5,99.7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609737,VON STEUBEN HS,Network 14,4,Level 1+,Good Standing,90,100,5,3.33,50,98,3,1.67,6,98,1,1.67,31,100,2,1.67,50,100,3,1.67,38,100,2,15,11,100,2,2.5,32,100,3,2.5,,,,,,,,,67.7,99,4,10,91,5,10,87.2,5,10,0.1,5,5,82.9,5,5,82.3,4,5,66.1,5,5,93,4,10,Well Organized,5,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609738,LINCOLN PARK HS,Network 14,3.6,Level 1,Good Standing,83,98,4,3.33,28,100,2,1.67,15,100,2,1.67,31,99,2,1.67,68,99,3,1.67,28,99,2,15,11,99,2,2.5,14,100,2,2.5,,,,,,,,,77.1,99,4,10,89.1,4,10,83.3,4,10,4.1,3,5,87.4,5,5,88.4,5,5,66.8,5,5,91.4,4,10,Organized,4,5,99.5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609739,WASHINGTON HS,Network 17,3.3,Level 2+,Good Standing,50,97,3,3.33,33,96,2,1.67,30,96,2,1.67,33,100,2,1.67,50,100,3,1.67,24,100,2,17.5,,,,,24,100,2,2.5,,,,,,,,,30.3,97,2,10,91.3,5,10,84.5,4,10,3.2,4,5,62,3,5,71.7,3,5,56.3,5,5,90.4,4,10,Moderately Organized,3,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609740,WELLS HS,Network 15,2.7,Level 2,Provisional Support,17,97,2,3.33,50,96,3,1.67,31,96,2,1.67,35,99,2,1.67,86,99,4,1.67,4,99,1,20,,,,,,,,,,,,,,,,,11.5,97,1,10,88.9,4,10,66.7,3,10,0.8,5,5,57.8,3,5,50.8,1,5,41.2,5,5,88.4,3,10,Organized,4,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609741,HUBBARD HS,Network 16,3.3,Level 2+,Good Standing,78,99,4,3.33,50,99,3,1.67,15,99,2,1.67,19,100,2,1.67,37,100,2,1.67,13,100,2,17.5,,,,,13,100,2,2.5,,,,,,,,,30.1,99,2,10,81.1,4,10,83,4,10,4.1,3,5,68.5,4,5,65,3,5,51.6,5,5,91.2,4,10,Well Organized,5,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609744,NORTHSIDE LEARNING HS,Network 14,3.2,Inability to Rate,Good Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,5,17.27,8.3,1,17.27,0,5,8.64,0,1,13.64,,,,0,1,8.64,93.3,4,17.27,Well Organized,5,8.64,99.7,5,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609745,SOUTHSIDE HS,ISP,3.2,Inability to Rate,Good Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,3,20.72,0,1,15.72,,,,1,1,10.72,91.3,4,31.43,Well Organized,5,10.72,99.2,5,10.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609749,NORTHSIDE PREP HS,ISP,4.1,Level 1+,Good Standing,64,100,3,3.33,37,100,2,1.67,50,100,3,1.67,36,100,2,1.67,30,100,2,1.67,26,100,2,17.5,,,,,18,100,2,2.5,,,,,,,,,99.7,100,5,10,99.6,5,10,96.7,5,10,0.9,5,5,93.7,5,5,95,5,5,92.6,5,5,94.7,4,10,Well Organized,5,5,99.2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609751,KING HS,Network 17,3.6,Level 1,Good Standing,46,99,3,3.33,9,99,1,1.67,4,99,1,1.67,50,99,3,1.67,32,99,2,1.67,13,99,2,17.5,14,99,2,2.5,,,,,,,,,,,,,59.3,99,3,10,92.6,5,10,85.8,5,10,1.6,5,5,86.3,5,5,81.1,4,5,49.6,5,5,89.9,3,10,Moderately Organized,3,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609753,CHICAGO AGRICULTURE HS,ISP,3.8,Level 1,Good Standing,77,97,4,3.33,73,100,4,1.67,12,100,2,1.67,50,99,3,1.67,50,99,3,1.67,33,99,2,17.5,14,100,2,2.5,,,,,,,,,,,,,53.6,98,3,10,89.2,4,10,85,5,10,2.5,4,5,81.3,5,5,89.1,5,5,93.7,5,5,94.3,4,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609754,CHICAGO MILITARY HS,Network 17,3.2,Level 2+,Good Standing,73,100,4,3.33,50,99,3,1.67,50,99,3,1.67,66,99,3,1.67,50,99,3,1.67,9,99,1,17.5,4,99,1,2.5,,,,,,,,,,,,,25.5,100,2,10,74.4,3,10,85.5,5,10,0.3,5,5,70.3,4,5,51.5,1,5,90.7,5,5,90.9,4,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609756,CURIE HS,Network 15,3,Level 2+,Good Standing,56,97,3,3.33,50,96,3,1.67,13,96,2,1.67,33,99,2,1.67,36,99,2,1.67,14,99,2,12.5,1,99,1,2.5,19,99,2,2.5,,,,,6,99,1,2.5,31.3,97,2,10,71.2,3,10,72.7,3,10,4,4,5,70.3,4,5,74,3,5,51.9,5,5,88.5,3,10,Organized,4,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609759,CLEMENTE HS,Network 15,2.5,Level 2,Intensive Support,5,89,1,3.33,50,87,1,1.67,31,87,1,1.67,34,98,2,1.67,38,98,2,1.67,4,98,1,15,2,98,1,2.5,6,99,1,2.5,,,,,,,,,11.6,91,1,10,91.3,5,10,82.7,4,10,2.2,4,5,50,2,5,43.8,1,5,42.7,5,5,81.9,2,10,Partially Organized,2,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609760,CARVER MILITARY HS,Network 17,3.5,Level 1,Good Standing,58,97,3,3.33,50,96,3,1.67,13,96,2,1.67,9,100,1,1.67,35,100,2,1.67,11,100,2,15,3,100,1,2.5,18,100,2,2.5,,,,,,,,,38,98,2,10,92.1,5,10,91.5,5,10,0.6,5,5,64,3,5,68.5,3,5,75.8,5,5,93.4,4,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609761,CORLISS HS,Network 17,2.4,Level 2,Intensive Support,1,97,1,3.33,50,98,3,1.67,17,98,2,1.67,35,97,2,1.67,50,97,3,1.67,1,97,1,20,,,,,,,,,,,,,,,,,4,97,1,10,89.8,4,10,63.2,2,10,6,3,5,51.4,2,5,34.1,1,5,32.4,4,5,87,3,10,Well Organized,5,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609762,JULIAN HS,Network 16,2.5,Level 2,Intensive Support,7,98,1,3.33,68,96,3,1.67,17,96,2,1.67,12,99,2,1.67,36,99,2,1.67,1,99,1,17.5,1,99,1,2.5,,,,,,,,,,,,,4.1,98,1,10,88.2,4,10,77.9,4,10,3.2,4,5,55.9,3,5,42.2,1,5,25.6,3,5,82.2,2,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609764,JUAREZ HS,ISP,3,Level 2+,Good Standing,42,97,3,3.33,50,94,2,1.67,16,94,1,1.67,34,97,2,1.67,73,97,4,1.67,2,97,1,15,,,,,2,98,1,2.5,,,,,3,100,1,2.5,20.2,96,2,10,92.4,5,10,72.7,3,10,3.3,4,5,62.8,3,5,62.9,2,5,56.4,5,5,86.6,3,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609766,VAUGHN HS,Network 14,3.2,Inability to Rate,Good Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,5,17.27,0,1,17.27,2.2,4,8.64,6.1,1,13.64,,,,2,1,8.64,90.3,4,17.27,Well Organized,5,8.64,99.9,5,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609768,HOPE HS,Network 16,2.7,Level 2,Intensive Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,1,22.5,9.1,1,16.25,80,5,11.25,42.9,1,11.25,,,,90.3,4,27.5,Not Enough Data,,,100,5,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609769,GRAHAM HS,Network 14,3.1,Inability to Rate,Good Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,4,20.72,10.7,1,15.72,,,,5.9,1,10.72,89.3,3,31.43,Well Organized,5,10.72,99.9,5,10.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610244,CLARK HS,ISP,2.9,Level 2,Provisional Support,4,99,1,3.33,68,98,3,1.67,16,98,2,1.67,21,99,2,1.67,37,99,2,1.67,1,99,1,17.5,1,99,1,2.5,,,,,,,,,,,,,8.4,99,1,10,91,5,10,81.2,4,10,0.2,5,5,51.5,2,5,37.8,1,5,30.9,4,5,91.4,4,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610245,DOUGLASS HS,Network 15,2.6,Level 2,Intensive Support,,,,,68,100,3,7.5,17,100,2,7.5,12,95,2,7.5,50,95,3,7.5,,,,,,,,,,,,,,,,,,,,,14.6,98,1,10,100,5,10,60,2,10,5.9,3,5,28.1,1,5,28.6,1,5,12.5,2,5,84.1,2,10,Organized,4,5,99.4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
