CPS Behavior Data,,,Misconducts,,,,"Suspensions
(includes ISS & OSS)",,"In School Suspensions 
(ISS)",,,,,,"Out of School Suspensions 
(OSS)",,,,,,"Police Notifications
",,,,
Hawaiian / Pacific Islander,2013-2014,S1,15,6,7,2,10,66.7,7,46.7,1.24,4,0.7,,3,20,0.53,3,0.5,,0,0,0,0,0
Hawaiian / Pacific Islander,2013-2014,EOY,34,13,17,4,27,79.4,19,55.9,3.44,7,1.3,,9,26.5,1.63,7,1.3,,0,0,0,0,0
Hawaiian / Pacific Islander,2014-2015,S1,22,15,6,1,6,27.3,3,13.6,0.51,3,0.5,,3,13.6,0.51,3,0.5,,0,0,0,0,0
Hawaiian / Pacific Islander,2014-2015,EOY,54,32,17,5,20,37,12,22.2,2.09,9,1.6,,8,14.8,1.4,7,1.2,,0,0,0,0,0
Hawaiian / Pacific Islander,2015-2016,S1,40,22,17,1,15,37.5,7,17.5,1.22,7,1.2,,9,22.5,1.57,8,1.4,,0,0,0,0,0
Hawaiian / Pacific Islander,2015-2016,EOY,79,33,43,3,28,35.4,16,20.3,3.13,11,2.2,,13,16.5,2.54,10,2,,0,0,0,0,0
Hawaiian / Pacific Islander,2016-2017,S1,32,19,11,2,4,12.5,4,12.5,0.67,3,0.5,,0,0,0,0,0,,1,3.1,0.17,1,0.2
Hawaiian / Pacific Islander,2016-2017,EOY,68,42,24,2,14,20.6,13,19.1,2.37,7,1.3,,1,1.5,0.18,1,0.2,,1,1.5,0.18,1,0.2
Hawaiian / Pacific Islander,2017-2018,S1,81,55,23,3,18,22.2,14,17.3,2.43,8,1.4,,4,4.9,0.69,4,0.7,,1,1.2,0.17,1,0.2
Hawaiian / Pacific Islander,2017-2018,EOY,123,73,43,7,33,26.8,20,16.3,3.76,13,2.4,,14,11.4,2.63,11,2.1,,2,1.6,0.38,2,0.4
Hawaiian / Pacific Islander,2018-2019,S1,66,38,21,7,19,28.8,13,19.7,2.33,8,1.4,,6,9.1,1.07,5,0.9,,0,0,0,0,0
Hawaiian / Pacific Islander,2018-2019,EOY,94,51,34,9,27,28.7,18,19.1,3.74,12,2.5,,9,9.6,1.87,6,1.2,,2,2.1,0.42,2,0.4
Race Not Available,2011-2012,EOY,49,18,29,2,41,83.7,4,8.2,0.7,3,0.5,,37,75.5,6.44,23,4,,5,10.2,0.87,4,0.7
Race Not Available,2012-2013,EOY,100,18,67,15,81,81,15,15,1.78,10,1.2,,67,67,7.93,45,5.3,,10,10,1.18,8,0.9
Race Not Available,2013-2014,S1,15,7,6,2,10,66.7,7,46.7,2.14,5,1.5,,3,20,0.92,2,0.6,,0,0,0,0,0
Race Not Available,2013-2014,EOY,42,22,17,3,30,71.4,16,38.1,4.95,9,2.8,,15,35.7,4.65,9,2.8,,3,7.1,0.93,2,0.6
Race Not Available,2014-2015,S1,18,3,13,2,8,44.4,2,11.1,0.55,2,0.6,,6,33.3,1.66,5,1.4,,0,0,0,0,0
Race Not Available,2014-2015,EOY,33,13,15,5,10,30.3,3,9.1,0.83,2,0.6,,7,21.2,1.93,5,1.4,,1,3,0.28,1,0.3
Race Not Available,2015-2016,S1,11,6,4,1,1,9.1,0,0,0,0,0,,1,9.1,0.21,1,0.2,,2,18.2,0.41,2,0.4
Race Not Available,2015-2016,EOY,21,9,11,1,4,19,1,4.8,0.23,1,0.2,,3,14.3,0.69,3,0.7,,2,9.5,0.46,2,0.5
Race Not Available,2016-2017,S1,8,2,5,1,1,12.5,0,0,0,0,0,,1,12.5,0.46,1,0.5,,0,0,0,0,0
Race Not Available,2016-2017,EOY,21,4,15,2,6,28.6,0,0,0,0,0,,6,28.6,3.07,4,2,,0,0,0,0,0
Race Not Available,2017-2018,S1,4,3,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Race Not Available,2017-2018,EOY,16,10,4,2,2,12.5,0,0,0,0,0,,2,12.5,0.69,2,0.7,,1,6.3,0.35,1,0.3
Race Not Available,2018-2019,S1,4,1,1,2,2,50,2,50,0.58,2,0.6,,0,0,0,0,0,,0,0,0,0,0
Race Not Available,2018-2019,EOY,15,6,4,5,8,53.3,4,26.7,1.19,3,0.9,,4,26.7,1.19,2,0.6,,0,0,0,0,0
White Male,2011-2012,EOY,3833,1762,1805,266,2447,63.8,893,23.3,6.22,516,3.6,,1555,40.6,10.83,868,6,,147,3.8,1.02,115,0.8
White Male,2012-2013,EOY,3558,1460,1843,255,2240,63,928,26.1,6.09,493,3.2,,1343,37.7,8.81,754,4.9,,173,4.9,1.13,145,1
White Male,2013-2014,S1,1380,624,642,114,826,59.9,382,27.7,2.23,260,1.5,,454,32.9,2.65,339,2,,53,3.8,0.31,50,0.3
White Male,2013-2014,EOY,2840,1257,1325,258,1723,60.7,823,29,5.12,488,3,,923,32.5,5.74,600,3.7,,115,4,0.72,102,0.6
White Male,2014-2015,S1,1705,949,685,71,529,31,366,21.5,2.07,240,1.4,,183,10.7,1.04,144,0.8,,54,3.2,0.31,50,0.3
White Male,2014-2015,EOY,4161,2066,1922,173,1458,35,975,23.4,5.64,563,3.3,,526,12.6,3.04,335,1.9,,108,2.6,0.62,91,0.5
White Male,2015-2016,S1,1845,909,824,112,539,29.2,306,16.6,1.67,227,1.2,,244,13.2,1.33,181,1,,35,1.9,0.19,33,0.2
White Male,2015-2016,EOY,3657,1655,1766,236,1144,31.3,645,17.6,3.98,422,2.6,,536,14.7,3.3,367,2.3,,70,1.9,0.43,65,0.4
White Male,2016-2017,S1,1561,799,642,120,392,25.1,242,15.5,1.31,186,1,,164,10.5,0.89,126,0.7,,36,2.3,0.2,30,0.2
White Male,2016-2017,EOY,3463,1647,1573,243,988,28.5,622,18,3.82,429,2.6,,396,11.4,2.43,267,1.6,,81,2.3,0.5,67,0.4
White Male,2017-2018,S1,2066,1150,804,112,400,19.4,259,12.5,1.43,208,1.1,,154,7.5,0.85,126,0.7,,50,2.4,0.28,46,0.3
White Male,2017-2018,EOY,4032,2126,1661,245,922,22.9,633,15.7,4.45,415,2.9,,329,8.2,2.32,246,1.7,,96,2.4,0.68,88,0.6
White Male,2018-2019,S1,1779,928,708,143,308,17.3,208,11.7,1.12,175,0.9,,100,5.6,0.54,83,0.4,,22,1.2,0.12,22,0.1
White Male,2018-2019,EOY,3458,1648,1484,326,824,23.8,588,17,3.79,415,2.7,,236,6.8,1.52,179,1.2,,45,1.3,0.29,43,0.3
White Female,2011-2012,EOY,1644,954,622,68,881,53.6,368,22.4,2.65,217,1.6,,513,31.2,3.7,315,2.3,,40,2.4,0.29,35,0.3
White Female,2012-2013,EOY,1088,458,551,79,770,70.8,343,31.5,2.4,210,1.5,,435,40,3.04,262,1.8,,65,6,0.45,59,0.4
White Female,2013-2014,S1,390,186,173,31,243,62.3,148,37.9,0.91,94,0.6,,102,26.2,0.62,89,0.5,,15,3.8,0.09,14,0.1
White Female,2013-2014,EOY,773,338,372,63,497,64.3,278,36,1.8,170,1.1,,231,29.9,1.5,177,1.1,,25,3.2,0.16,22,0.1
White Female,2014-2015,S1,468,284,166,18,139,29.7,97,20.7,0.56,73,0.4,,44,9.4,0.25,38,0.2,,12,2.6,0.07,11,0.1
White Female,2014-2015,EOY,1160,638,469,53,388,33.4,285,24.6,1.69,178,1.1,,111,9.6,0.66,88,0.5,,27,2.3,0.16,26,0.2
White Female,2015-2016,S1,435,224,180,31,115,26.4,63,14.5,0.35,51,0.3,,55,12.6,0.31,46,0.3,,8,1.8,0.04,7,0
White Female,2015-2016,EOY,980,451,453,76,306,31.2,172,17.6,1.1,129,0.8,,140,14.3,0.89,109,0.7,,33,3.4,0.21,30,0.2
White Female,2016-2017,S1,549,367,144,38,98,17.9,67,12.2,0.38,55,0.3,,40,7.3,0.23,36,0.2,,23,4.2,0.13,21,0.1
White Female,2016-2017,EOY,1155,750,334,71,252,21.8,182,15.8,1.17,138,0.9,,85,7.4,0.55,73,0.5,,33,2.9,0.21,30,0.2
White Female,2017-2018,S1,626,403,189,34,112,17.9,69,11,0.4,59,0.3,,45,7.2,0.26,39,0.2,,12,1.9,0.07,10,0.1
White Female,2017-2018,EOY,1240,764,398,78,259,20.9,170,13.7,1.24,126,0.9,,92,7.4,0.67,78,0.6,,24,1.9,0.18,22,0.2
White Female,2018-2019,S1,621,357,212,52,136,21.9,104,16.7,0.59,67,0.4,,32,5.2,0.18,30,0.2,,11,1.8,0.06,11,0.1
White Female,2018-2019,EOY,1146,614,427,105,300,26.2,235,20.5,1.55,140,0.9,,65,5.7,0.43,54,0.4,,18,1.6,0.12,18,0.1
African American Male,2011-2012,EOY,54063,19779,29322,4962,44581,82.5,12849,23.8,23.81,5666,10.5,,31733,58.7,58.81,15101,28,,2177,4,4.03,1710,3.2
African American Male,2012-2013,EOY,59600,19929,33575,6096,48742,81.8,16286,27.3,30.14,7107,13.2,,33576,56.3,62.14,15049,27.9,,2278,3.8,4.22,1792,3.3
African American Male,2013-2014,S1,26688,10931,13370,2387,20055,75.1,8071,30.2,13.79,4105,7,,12548,47,21.44,7530,12.9,,895,3.4,1.53,767,1.3
African American Male,2013-2014,EOY,51980,20385,26759,4836,38664,74.4,15485,29.8,28.2,6177,11.2,,24208,46.6,44.08,11547,21,,1777,3.4,3.24,1407,2.6
African American Male,2014-2015,S1,25275,12005,11249,2021,11940,47.2,7719,30.5,13.46,3837,6.7,,4568,18.1,7.96,3044,5.3,,823,3.3,1.43,682,1.2
African American Male,2014-2015,EOY,53893,23181,26183,4529,26407,49,16025,29.7,30.08,6099,11.4,,11096,20.6,20.83,5994,11.3,,1795,3.3,3.37,1349,2.5
African American Male,2015-2016,S1,25273,11373,11924,1976,12193,48.2,7890,31.2,13.94,3455,6.1,,4546,18,8.03,3135,5.5,,698,2.8,1.23,574,1
African American Male,2015-2016,EOY,49700,21666,23940,4094,25089,50.5,15458,31.1,31.24,5692,11.5,,10197,20.5,20.61,5751,11.6,,1376,2.8,2.78,1034,2.1
African American Male,2016-2017,S1,18566,8649,8319,1598,7449,40.1,4449,24,8.27,2578,4.8,,3219,17.3,5.98,2309,4.3,,596,3.2,1.11,512,1
African American Male,2016-2017,EOY,35452,15166,17090,3196,15495,43.7,8554,24.1,18.01,4278,9,,7381,20.8,15.54,4376,9.2,,1153,3.3,2.43,891,1.9
African American Male,2017-2018,S1,16042,7468,7189,1385,6185,38.6,3705,23.1,7.38,2231,4.4,,2653,16.5,5.29,1956,3.9,,470,2.9,0.94,403,0.8
African American Male,2017-2018,EOY,31504,13475,15145,2884,12976,41.2,7608,24.1,19.56,3899,10,,5787,18.4,14.88,3634,9.3,,917,2.9,2.36,744,1.9
African American Male,2018-2019,S1,14395,6590,6120,1685,5900,41,3737,26,7.66,2162,4.4,,2163,15,4.44,1601,3.3,,370,2.6,0.76,314,0.6
African American Male,2018-2019,EOY,27945,11665,12858,3422,12627,45.2,7827,28,20.91,3653,9.8,,4800,17.2,12.82,3060,8.2,,659,2.4,1.76,538,1.4
African American Female,2011-2012,EOY,31950,12597,17094,2259,26868,84.1,8354,26.1,15.32,4161,7.6,,18515,57.9,33.94,10042,18.4,,1216,3.8,2.23,1018,1.9
African American Female,2012-2013,EOY,34050,11974,19343,2733,28141,82.6,9911,29.1,18.16,4976,9.1,,18828,55.3,34.49,10054,18.4,,1172,3.4,2.15,996,1.8
African American Female,2013-2014,S1,14317,6083,7153,1081,10791,75.4,4465,31.2,7.58,2686,4.6,,6552,45.8,11.13,4354,7.4,,516,3.6,0.88,454,0.8
African American Female,2013-2014,EOY,28962,11884,14883,2195,21580,74.5,9164,31.6,16.56,4367,7.9,,12913,44.6,23.34,7171,13,,1028,3.5,1.86,865,1.6
African American Female,2014-2015,S1,14783,7422,6438,923,7091,48,4619,31.2,7.96,2531,4.4,,2636,17.8,4.54,1922,3.3,,444,3,0.77,403,0.7
African American Female,2014-2015,EOY,31640,14330,14996,2314,15697,49.6,9804,31,18.15,4220,7.8,,6240,19.7,11.55,3893,7.2,,991,3.1,1.83,842,1.6
African American Female,2015-2016,S1,14048,6269,6698,1081,6879,49,4352,31,7.61,2285,4,,2660,18.9,4.65,2019,3.5,,325,2.3,0.57,290,0.5
African American Female,2015-2016,EOY,28500,12769,13272,2459,14756,51.8,8852,31.1,17.7,3935,7.9,,6193,21.7,12.39,3906,7.8,,791,2.8,1.58,659,1.3
African American Female,2016-2017,S1,9985,4986,4192,807,4052,40.6,2374,23.8,4.37,1631,3,,1811,18.1,3.33,1419,2.6,,317,3.2,0.58,288,0.5
African American Female,2016-2017,EOY,19551,8708,9032,1811,8987,46,4698,24,9.77,2816,5.9,,4565,23.3,9.49,3066,6.4,,679,3.5,1.41,579,1.2
African American Female,2017-2018,S1,8719,4342,3669,708,3660,42,2163,24.8,4.27,1416,2.8,,1607,18.4,3.17,1294,2.6,,257,2.9,0.51,236,0.5
African American Female,2017-2018,EOY,17436,8166,7647,1623,7556,43.3,4425,25.4,11.25,2591,6.6,,3382,19.4,8.6,2416,6.1,,566,3.2,1.44,487,1.2
African American Female,2018-2019,S1,7335,3379,3169,787,3435,46.8,2225,30.3,4.56,1402,2.9,,1210,16.5,2.48,1030,2.1,,223,3,0.46,198,0.4
African American Female,2018-2019,EOY,15248,6431,7108,1709,7591,49.8,4904,32.2,12.65,2526,6.5,,2687,17.6,6.93,2008,5.2,,374,2.5,0.96,334,0.9
Native American / Alaskan Male,2011-2012,EOY,241,103,124,14,135,56,53,22,9.3,27,4.7,,82,34,14.39,39,6.8,,4,1.7,0.7,4,0.7
Native American / Alaskan Male,2012-2013,EOY,225,101,105,19,147,65.3,52,23.1,9.48,26,4.7,,98,43.6,17.87,41,7.5,,5,2.2,0.91,4,0.7
Native American / Alaskan Male,2013-2014,S1,103,63,35,5,76,73.8,48,46.6,8.89,19,3.5,,29,28.2,5.37,16,3,,1,1,0.19,1,0.2
Native American / Alaskan Male,2013-2014,EOY,191,101,80,10,138,72.3,78,40.8,14.85,30,5.7,,63,33,11.99,31,5.9,,7,3.7,1.33,7,1.3
Native American / Alaskan Male,2014-2015,S1,135,83,43,9,55,40.7,38,28.1,8.06,16,3.4,,18,13.3,3.82,14,3,,8,5.9,1.7,8,1.7
Native American / Alaskan Male,2014-2015,EOY,266,155,97,14,131,49.2,94,35.3,19.89,29,6.1,,42,15.8,8.89,26,5.5,,10,3.8,2.12,10,2.1
Native American / Alaskan Male,2015-2016,S1,92,58,28,6,38,41.3,24,26.1,6.1,16,4.1,,17,18.5,4.32,11,2.8,,1,1.1,0.25,1,0.3
Native American / Alaskan Male,2015-2016,EOY,210,129,69,12,82,39,59,28.1,17.14,31,9,,29,13.8,8.43,18,5.2,,1,0.5,0.29,1,0.3
Native American / Alaskan Male,2016-2017,S1,111,72,32,7,24,21.6,15,13.5,2.95,13,2.6,,11,9.9,2.16,9,1.8,,2,1.8,0.39,2,0.4
Native American / Alaskan Male,2016-2017,EOY,219,126,80,13,68,31.1,43,19.6,9.56,29,6.4,,28,12.8,6.23,21,4.7,,8,3.7,1.78,8,1.8
Native American / Alaskan Male,2017-2018,S1,101,62,31,8,27,26.7,18,17.8,3.78,17,3.6,,9,8.9,1.89,8,1.7,,0,0,0,0,0
Native American / Alaskan Male,2017-2018,EOY,201,110,69,22,66,32.8,38,18.9,10.18,26,7,,30,14.9,8.04,18,4.8,,2,1,0.54,2,0.5
Native American / Alaskan Male,2018-2019,S1,80,42,28,10,26,32.5,18,22.5,4.21,12,2.8,,8,10,1.87,5,1.2,,2,2.5,0.47,2,0.5
Native American / Alaskan Male,2018-2019,EOY,133,70,45,18,52,39.1,39,29.3,11.28,20,5.8,,13,9.8,3.76,9,2.6,,7,5.3,2.02,7,2
Native American / Alaskan Female,2011-2012,EOY,116,59,49,8,85,73.3,33,28.4,6.28,21,4,,52,44.8,9.89,39,7.4,,8,6.9,1.52,7,1.3
Native American / Alaskan Female,2012-2013,EOY,100,39,53,8,78,78,34,34,6.49,21,4,,45,45,8.59,31,5.9,,7,7,1.34,7,1.3
Native American / Alaskan Female,2013-2014,S1,56,32,20,4,42,75,27,48.2,5.03,15,2.8,,17,30.4,3.17,14,2.6,,2,3.6,0.37,2,0.4
Native American / Alaskan Female,2013-2014,EOY,112,68,37,7,73,65.2,43,38.4,8.41,18,3.5,,32,28.6,6.26,24,4.7,,4,3.6,0.78,4,0.8
Native American / Alaskan Female,2014-2015,S1,40,21,19,0,17,42.5,13,32.5,2.83,9,2,,4,10,0.87,4,0.9,,2,5,0.44,1,0.2
Native American / Alaskan Female,2014-2015,EOY,84,39,41,4,42,50,26,31,5.89,14,3.2,,17,20.2,3.85,12,2.7,,6,7.1,1.36,4,0.9
Native American / Alaskan Female,2015-2016,S1,57,37,17,3,26,45.6,19,33.3,4.93,9,2.3,,8,14,2.08,6,1.6,,0,0,0,0,0
Native American / Alaskan Female,2015-2016,EOY,104,58,42,4,50,48.1,36,34.6,9.52,14,3.7,,15,14.4,3.97,9,2.4,,1,1,0.26,1,0.3
Native American / Alaskan Female,2016-2017,S1,65,42,19,4,18,27.7,11,16.9,2.23,6,1.2,,8,12.3,1.62,6,1.2,,0,0,0,0,0
Native American / Alaskan Female,2016-2017,EOY,110,73,25,12,36,32.7,25,22.7,5.57,10,2.2,,15,13.6,3.34,11,2.5,,1,0.9,0.22,1,0.2
Native American / Alaskan Female,2017-2018,S1,85,65,17,3,11,12.9,8,9.4,1.69,8,1.7,,5,5.9,1.06,4,0.8,,1,1.2,0.21,1,0.2
Native American / Alaskan Female,2017-2018,EOY,154,117,31,6,22,14.3,14,9.1,3.76,13,3.5,,10,6.5,2.69,9,2.4,,2,1.3,0.54,2,0.5
Native American / Alaskan Female,2018-2019,S1,35,20,11,4,11,31.4,8,22.9,1.76,7,1.5,,3,8.6,0.66,3,0.7,,0,0,0,0,0
Native American / Alaskan Female,2018-2019,EOY,73,37,24,12,27,37,16,21.9,4.02,11,2.8,,11,15.1,2.77,11,2.8,,2,2.7,0.5,2,0.5
Asian / Pacific Islander Male 7,2013-2014,EOY,1,0,1,0,1,100,0,0,0,0,0,,1,100,9.01,1,9,,0,0,0,0,0
Asian / Pacific Islander Female 7,2012-2013,EOY,2,0,1,1,2,100,0,0,0,0,0,,2,100,16.24,2,16.2,,0,0,0,0,0
Asian / Pacific Islander Female 7,2017-2018,S1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Asian / Pacific Islander Female 7,2017-2018,EOY,2,1,0,1,1,50,0,0,0,0,0,,1,50,17.29,1,17.3,,0,0,0,0,0
Hispanic Male,2011-2012,EOY,26012,12608,11387,2017,17800,68.4,7228,27.8,11.29,3616,5.6,,10572,40.6,16.51,5857,9.1,,1077,4.1,1.68,907,1.4
Hispanic Male,2012-2013,EOY,24203,10164,11778,2261,16529,68.3,6396,26.4,9.33,3539,5.2,,10453,43.2,15.24,5705,8.3,,1053,4.4,1.54,842,1.2
Hispanic Male,2013-2014,S1,12566,6563,5130,873,8380,66.7,4568,36.4,6.07,2500,3.3,,3969,31.6,5.27,2690,3.6,,485,3.9,0.64,410,0.5
Hispanic Male,2013-2014,EOY,23655,11494,10227,1934,15475,65.4,7828,33.1,11.08,3885,5.5,,7955,33.6,11.26,4618,6.5,,982,4.2,1.39,776,1.1
Hispanic Male,2014-2015,S1,11771,6469,4425,877,4635,39.4,3010,25.6,3.96,1711,2.2,,1722,14.6,2.26,1256,1.7,,431,3.7,0.57,351,0.5
Hispanic Male,2014-2015,EOY,27297,14343,11037,1917,11262,41.3,7141,26.2,9.9,3365,4.7,,4385,16.1,6.08,2661,3.7,,880,3.2,1.22,692,1
Hispanic Male,2015-2016,S1,12630,6867,4785,978,4419,35,2703,21.4,3.52,1651,2.1,,1860,14.7,2.42,1307,1.7,,316,2.5,0.41,284,0.4
Hispanic Male,2015-2016,EOY,25944,13464,10470,2010,9714,37.4,5834,22.5,8.52,3115,4.5,,4158,16,6.07,2518,3.7,,632,2.4,0.92,534,0.8
Hispanic Male,2016-2017,S1,13410,8854,3710,846,3287,24.5,2152,16,2.84,1417,1.9,,1246,9.3,1.65,960,1.3,,251,1.9,0.33,221,0.3
Hispanic Male,2016-2017,EOY,26290,16486,8067,1737,7448,28.3,4920,18.7,7.34,2896,4.3,,2788,10.6,4.16,1917,2.9,,495,1.9,0.74,427,0.6
Hispanic Male,2017-2018,S1,13733,9029,3692,1012,3206,23.3,2117,15.4,2.93,1545,2.1,,1199,8.7,1.66,958,1.3,,249,1.8,0.34,211,0.3
Hispanic Male,2017-2018,EOY,26632,16706,7949,1977,7387,27.7,5052,19,9.02,3013,5.4,,2605,9.8,4.65,1819,3.2,,501,1.9,0.89,431,0.8
Hispanic Male,2018-2019,S1,9768,5060,3413,1295,3348,34.3,2241,22.9,3.19,1608,2.3,,1107,11.3,1.58,860,1.2,,274,2.8,0.39,227,0.3
Hispanic Male,2018-2019,EOY,18522,9038,6828,2656,7247,39.1,4756,25.7,8.55,2913,5.2,,2491,13.4,4.48,1694,3,,424,2.3,0.76,353,0.6
Hispanic Female,2011-2012,EOY,12835,7603,4652,580,8123,63.3,3860,30.1,6.2,2041,3.3,,4263,33.2,6.85,2804,4.5,,410,3.2,0.66,376,0.6
Hispanic Female,2012-2013,EOY,9555,4314,4599,642,6749,70.6,2832,29.6,4.34,1833,2.8,,4081,42.7,6.25,2621,4,,364,3.8,0.56,324,0.5
Hispanic Female,2013-2014,S1,5381,3182,1933,266,3488,64.8,2255,41.9,3.08,1401,1.9,,1328,24.7,1.82,1025,1.4,,145,2.7,0.2,139,0.2
Hispanic Female,2013-2014,EOY,10505,5772,4145,588,6623,63,3868,36.8,5.63,2170,3.2,,2925,27.8,4.25,1949,2.8,,327,3.1,0.48,298,0.4
Hispanic Female,2014-2015,S1,4791,2786,1757,248,2157,45,1585,33.1,2.14,944,1.3,,611,12.8,0.83,495,0.7,,153,3.2,0.21,137,0.2
Hispanic Female,2014-2015,EOY,11726,6622,4480,624,5244,44.7,3724,31.8,5.4,1808,2.6,,1631,13.9,2.36,1152,1.7,,321,2.7,0.47,277,0.4
Hispanic Female,2015-2016,S1,4912,2855,1752,305,1848,37.6,1226,25,1.65,822,1.1,,685,13.9,0.92,566,0.8,,139,2.8,0.19,129,0.2
Hispanic Female,2015-2016,EOY,11334,6257,4394,683,4275,37.7,2746,24.2,4.2,1613,2.5,,1637,14.4,2.5,1200,1.8,,283,2.5,0.43,258,0.4
Hispanic Female,2016-2017,S1,6189,4577,1363,249,1318,21.3,903,14.6,1.23,633,0.9,,455,7.4,0.62,391,0.5,,73,1.2,0.1,72,0.1
Hispanic Female,2016-2017,EOY,12517,8774,3125,618,3214,25.7,2199,17.6,3.37,1395,2.1,,1149,9.2,1.76,889,1.4,,180,1.4,0.28,165,0.3
Hispanic Female,2017-2018,S1,7151,5263,1520,368,1428,20,992,13.9,1.41,771,1.1,,490,6.9,0.7,415,0.6,,94,1.3,0.13,88,0.1
Hispanic Female,2017-2018,EOY,14470,10480,3285,705,3311,22.9,2351,16.2,4.3,1555,2.8,,1078,7.4,1.97,844,1.5,,183,1.3,0.33,166,0.3
Hispanic Female,2018-2019,S1,4410,2419,1462,529,1651,37.4,1158,26.3,1.68,819,1.2,,493,11.2,0.72,411,0.6,,132,3,0.19,114,0.2
Hispanic Female,2018-2019,EOY,8598,4501,2991,1106,3607,42,2489,28.9,4.56,1542,2.8,,1118,13,2.05,869,1.6,,198,2.3,0.36,166,0.3
Multiracial Male,2011-2012,EOY,821,371,379,71,617,75.2,250,30.5,15.79,121,7.6,,367,44.7,23.18,186,11.7,,41,5,2.59,31,2
Multiracial Male,2012-2013,EOY,656,245,353,58,439,66.9,152,23.2,8.94,96,5.6,,294,44.8,17.3,162,9.5,,24,3.7,1.41,21,1.2
Multiracial Male,2013-2014,S1,310,137,152,21,188,60.6,82,26.5,4.45,58,3.1,,112,36.1,6.07,75,4.1,,11,3.5,0.6,9,0.5
Multiracial Male,2013-2014,EOY,561,231,286,44,353,62.9,155,27.6,8.93,85,4.9,,206,36.7,11.87,119,6.9,,26,4.6,1.5,20,1.2
Multiracial Male,2014-2015,S1,440,224,183,33,156,35.5,86,19.5,4.58,54,2.9,,72,16.4,3.83,44,2.3,,16,3.6,0.85,13,0.7
Multiracial Male,2014-2015,EOY,871,380,422,69,334,38.3,184,21.1,10.34,97,5.4,,155,17.8,8.71,85,4.8,,43,4.9,2.42,28,1.6
Multiracial Male,2015-2016,S1,273,139,103,31,88,32.2,46,16.8,2.41,37,1.9,,44,16.1,2.31,35,1.8,,11,4,0.58,7,0.4
Multiracial Male,2015-2016,EOY,592,283,255,54,206,34.8,108,18.2,6.41,68,4,,102,17.2,6.05,65,3.9,,23,3.9,1.36,17,1
Multiracial Male,2016-2017,S1,271,124,128,19,88,32.5,50,18.5,2.63,38,2,,44,16.2,2.31,31,1.6,,9,3.3,0.47,8,0.4
Multiracial Male,2016-2017,EOY,573,271,267,35,179,31.2,97,16.9,5.75,61,3.6,,91,15.9,5.39,53,3.1,,16,2.8,0.95,15,0.9
Multiracial Male,2017-2018,S1,334,215,100,19,60,18,33,9.9,1.73,24,1.3,,30,9,1.57,22,1.2,,10,3,0.52,8,0.4
Multiracial Male,2017-2018,EOY,633,339,255,39,153,24.2,80,12.6,5.36,51,3.4,,78,12.3,5.23,54,3.6,,25,3.9,1.68,19,1.3
Multiracial Male,2018-2019,S1,337,151,163,23,86,25.5,49,14.5,2.47,33,1.7,,37,11,1.86,25,1.3,,10,3,0.5,7,0.4
Multiracial Male,2018-2019,EOY,589,262,276,51,169,28.7,99,16.8,6.22,55,3.5,,70,11.9,4.4,42,2.6,,12,2,0.75,8,0.5
Multiracial Female,2011-2012,EOY,397,178,195,24,295,74.3,154,38.8,9.6,74,4.6,,141,35.5,8.79,87,5.4,,12,3,0.75,11,0.7
Multiracial Female,2012-2013,EOY,288,116,147,25,192,66.7,65,22.6,3.92,42,2.5,,127,44.1,7.65,81,4.9,,14,4.9,0.84,11,0.7
Multiracial Female,2013-2014,S1,85,35,43,7,58,68.2,35,41.2,1.9,26,1.4,,24,28.2,1.31,21,1.1,,5,5.9,0.27,5,0.3
Multiracial Female,2013-2014,EOY,197,85,97,15,125,63.5,75,38.1,4.11,44,2.4,,53,26.9,2.91,44,2.4,,12,6.1,0.66,11,0.6
Multiracial Female,2014-2015,S1,138,72,60,6,45,32.6,28,20.3,1.49,18,1,,20,14.5,1.07,13,0.7,,4,2.9,0.21,4,0.2
Multiracial Female,2014-2015,EOY,311,169,128,14,135,43.4,94,30.2,5.22,40,2.2,,47,15.1,2.61,32,1.8,,10,3.2,0.56,10,0.6
Multiracial Female,2015-2016,S1,128,66,54,8,65,50.8,51,39.8,2.69,23,1.2,,16,12.5,0.84,12,0.6,,6,4.7,0.32,5,0.3
Multiracial Female,2015-2016,EOY,284,140,130,14,143,50.4,105,37,6.32,36,2.2,,42,14.8,2.53,33,2,,8,2.8,0.48,7,0.4
Multiracial Female,2016-2017,S1,104,67,29,8,33,31.7,13,12.5,0.7,10,0.5,,20,19.2,1.07,14,0.8,,4,3.8,0.21,4,0.2
Multiracial Female,2016-2017,EOY,221,147,61,13,65,29.4,35,15.8,2.05,26,1.5,,31,14,1.82,20,1.2,,5,2.3,0.29,5,0.3
Multiracial Female,2017-2018,S1,132,100,25,7,28,21.2,19,14.4,1.04,14,0.8,,12,9.1,0.65,11,0.6,,4,3,0.22,4,0.2
Multiracial Female,2017-2018,EOY,233,152,62,19,67,28.8,47,20.2,2.86,31,1.9,,25,10.7,1.52,20,1.2,,9,3.9,0.55,9,0.5
Multiracial Female,2018-2019,S1,88,48,29,11,30,34.1,16,18.2,0.81,14,0.7,,14,15.9,0.71,14,0.7,,1,1.1,0.05,1,0.1
